ts_utc,source,operation,status,request_id,response_id,provider_mode,provider_id,endpoint_class,model_fingerprint,model,reasoning_effort,max_output_tokens,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,estimated_cost_usd,tokens_per_second,estimated_context_tokens,error_type,error_message
2026-09-07T04:48:56+00:00,ai_gate,trade_gate.provider_neutral_analyst,ok,591813800_1785974400_49336390_1786002599_GBPCAD_28222,gen-1788755565-ecXzreDX7r3lg9VhNOKN,OPENROUTER_API,openrouter_api,non_loopback,c85d90736518f0df550bd82996e9153b96c222f12546aaede37955be8ffebf19,deepseek/deepseek-v4-flash-0731,high,25000,48814,0,25403,17387,74217,0.05501012,26.161617239404393,38806,,
2026-09-07T04:53:18+00:00,ai_gate,trade_gate.provider_neutral_critic,ok,591813800_1785974400_49336390_1786002599_GBPCAD_28222,gen-1788756536-LutqXdoev8EkFNtEnyhP,OPENROUTER_API,openrouter_api,non_loopback,c85d90736518f0df550bd82996e9153b96c222f12546aaede37955be8ffebf19,deepseek/deepseek-v4-flash-0731,high,25000,10124,0,3758,3692,13882,0.00128388,50.21102002875137,7455,,
2026-09-07T04:53:18+00:00,ai_gate,trade_gate.provider_neutral_adjudicator,ok,591813800_1785974400_49336390_1786002599_GBPCAD_28222,gen-1788756611-T8OZrlOdaOomoKG4JffI,OPENROUTER_API,openrouter_api,non_loopback,c85d90736518f0df550bd82996e9153b96c222f12546aaede37955be8ffebf19,deepseek/deepseek-v4-flash-0731,high,25000,11753,0,7933,7756,19686,0.00219189,42.49469849442147,8569,,
