role,subtree,kind,n_requests,tokens_avg,tokens_p50,tokens_p95,tokens_min,tokens_max,pct_of_input_p50,static,distinct_serializations,duplicated,factor_source,static_factor_used,dynamic_factor_used
critic,envelope.market_regime,envelope_section,36,72.897,73.079,73.641,71.173,73.641,0.45,False,36,yes_class_a_c,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,leaf_class:nulls,leaf_class,36,40.138,37.944,83.76,9.556,84.322,0.23,False,0,,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,envelope.validation,envelope_section,36,25.282,25.297,25.297,24.637,25.445,0.16,True,1,,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,leaf_class:timestamps,leaf_class,36,28.03,24.734,65.209,13.491,65.209,0.15,False,0,,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,envelope.targets_and_obstacles,envelope_section,36,21.35,21.362,21.362,20.805,21.487,0.13,True,1,,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,envelope.request_identity_hash,envelope_section,36,21.097,20.8,23.73,17.989,24.172,0.13,False,36,,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,envelope.liquidity,envelope_section,36,20.07,20.014,21.362,19.113,21.362,0.12,False,31,yes_class_a_c,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,envelope.request_id,envelope_section,36,13.624,13.491,14.054,12.929,15.178,0.08,False,36,,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,envelope.correlations,envelope_section,36,1.124,1.124,1.124,1.095,1.131,0.01,True,1,,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,entry_and_invalidation.candidates[].allowed_evidence_ref_ids,allowed_ids,36,0.0,0.0,0.0,0.0,0.0,0.0,True,1,,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
critic,key_names:candidate_array_repetition,key_names,36,0.0,0.0,0.0,0.0,0.0,0.0,False,0,,provider_anchored_static_prefix_median_of_4_rows,1.03774,0.56215
